symbol,marketCap,ipoYear,sector,industry,date,open,high,low,close,volume,adjclose
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-10-02,4.75,4.8,4.66,4.8,21700,4.8
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-10-01,4.82,4.82,4.61,4.75,40500,4.75
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-09-30,4.59,4.83,4.56,4.77,66900,4.77
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-09-29,4.72,4.72,4.5,4.59,97100,4.59
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-09-28,4.8,4.85,4.66,4.69,50700,4.69
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-09-25,4.91,4.95,4.78,4.79,71400,4.79
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-09-24,4.89,4.95,4.78,4.91,39800,4.91
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-09-23,4.81,4.94,4.78,4.91,27000,4.91
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-09-22,4.86,4.91,4.67,4.81,129700,4.81
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-09-21,4.99,5.12,4.86,4.9,62400,4.9
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-09-18,4.9,5.09,4.9,5.05,127300,5.05
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-09-17,4.91,5.03,4.9,4.98,78900,4.98
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-09-16,4.93,4.96,4.85,4.92,53000,4.92
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-09-15,4.91,5,4.89,4.96,28500,4.96
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-09-14,5.01,5.01,4.88,4.93,33700,4.93
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-09-11,4.85,5.06,4.85,5,53300,5
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-09-10,4.98,5.04,4.85,4.89,81200,4.89
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-09-09,5.19,5.19,4.93,4.99,49700,4.99
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-09-08,5.1,5.2,5.03,5.13,86600,5.13
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-09-04,4.99,5.15,4.85,5.09,31300,5.09
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-09-03,5.14,5.25,5.11,5.15,60600,5.15
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-09-02,4.97,5.16,4.72,5.09,124300,5.09
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-09-01,5.11,5.15,4.89,5,127300,5
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-08-31,5.34,5.4,5.06,5.21,256500,5.21
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-08-28,5.15,5.45,5.04,5.28,219600,5.28
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-08-27,4.98,5.32,4.9,5.15,216800,5.15
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-08-26,4.99,4.99,4.88,4.96,102500,4.96
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-08-25,4.74,4.99,4.61,4.85,128600,4.85
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-08-24,4.45,4.67,4.4,4.67,166700,4.67
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-08-21,4.6,4.85,4.56,4.64,145400,4.64
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-08-20,4.71,4.86,4.63,4.67,114000,4.67
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-08-19,4.66,4.78,4.55,4.67,184700,4.67
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-08-18,4.72,4.78,4.62,4.65,62400,4.65
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-08-17,4.4,4.74,4.4,4.7,87900,4.7
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-08-14,4.54,4.72,4.38,4.45,88400,4.45
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-08-13,4.18,4.89,4.18,4.57,178600,4.57
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-08-12,4.24,4.31,4.15,4.29,78600,4.29
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-08-11,4.22,4.38,4.18,4.34,99400,4.34
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-08-10,4.38,4.56,4.2,4.23,57400,4.23
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-08-07,4.66,4.66,4.35,4.37,73400,4.37
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-08-06,4.8,4.81,4.52,4.68,46000,4.68
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-08-05,4.8,4.9,4.76,4.8,38100,4.8
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-08-04,4.88,5,4.76,4.78,59400,4.78
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-08-03,4.68,4.91,4.68,4.9,66700,4.9
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-07-31,4.59,4.74,4.56,4.7,283100,4.7
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-07-30,4.75,4.84,4.55,4.58,130800,4.58
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-07-29,4.89,4.89,4.75,4.77,56700,4.77
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-07-28,4.83,4.92,4.76,4.9,45000,4.9
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-07-27,4.86,4.91,4.76,4.83,68200,4.83
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-07-24,4.98,5.07,4.86,4.92,91100,4.92
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-07-23,5.1,5.1,4.97,5.02,137300,5.02
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-07-22,5.06,5.23,5.02,5.07,145500,5.07
ABCD,$220.4M,-1,Consumer Services,Publishing,2015-07-21,5.01,5.1,4.97,5.05,97600,5.05
